gameSlug,videoSrc,imgSrc,url,name,score,type
mushbooms,https://videos.crazygames.com/null,,http://www.crazygames.com/game/mushbooms,"
Mushbooms ","
7.3 ",puzzle
mu-complex-1,https://videos.crazygames.com/null,,https://www.crazygames.com/game/mu-complex-1,"
MU Complex 1 ","
8.2 ",puzzle
glow-path,https://videos.crazygames.com/null,,http://www.crazygames.com/game/glow-path,"
Glow Path ","
7.3 ",puzzle
red-ball,https://videos.crazygames.com/null,,http://www.crazygames.com/game/red-ball,"
Red Ball ","
6.7 ",puzzle
word-play-2-5-differences,https://videos.crazygames.com/null,,http://www.crazygames.com/game/word-play-2-5-differences,"
Word Play 2: 5 Differences ","
7.3 ",puzzle
color-move,https://videos.crazygames.com/null,,http://www.crazygames.com/game/color-move,"
Color Move ","
7.3 ",puzzle
shadow-adventure,https://videos.crazygames.com/null,,http://www.crazygames.com/game/shadow-adventure,"
Shadow Adventure ","
7.3 ",puzzle
blocky-xmas,https://videos.crazygames.com/null,,http://www.crazygames.com/game/blocky-xmas,"
Blocky XMAS ","
7.2 ",puzzle
shift-4,https://videos.crazygames.com/null,,http://www.crazygames.com/game/shift-4,"
Shift 4 ","
7.2 ",puzzle
time-swap,https://videos.crazygames.com/null,,http://www.crazygames.com/game/time-swap,"
Time Swap ","
7.2 ",puzzle
rubpix,https://videos.crazygames.com/null,,http://www.crazygames.com/game/rubpix,"
Rubpix ","
7.1 ",puzzle
untangle-15,https://videos.crazygames.com/null,,http://www.crazygames.com/game/untangle-15,"
Untangle 1.5 ","
7.3 ",puzzle
slice-the-box-level-pack,https://videos.crazygames.com/null,,https://www.crazygames.com/game/slice-the-box-level-pack,"
Slice The Box Level Pack ","
7.3 ",puzzle
dwarfs-journey,https://videos.crazygames.com/null,,http://www.crazygames.com/game/dwarfs-journey,"
Dwarf's Journey ","
7.2 ",puzzle
purple-invaders,https://videos.crazygames.com/null,,http://www.crazygames.com/game/purple-invaders,"
Purple Invaders ","
7.1 ",puzzle
ninjas-never-die,https://videos.crazygames.com/null,,http://www.crazygames.com/game/ninjas-never-die,"
Ninjas Never Die ","
7.2 ",puzzle
nothing-to-hide,https://videos.crazygames.com/nothing-to-hide.mp4,"https://images.crazygames.com/nothingtohideb.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/nothing-to-hide,"
Nothing to Hide ","
8.0 ",puzzle
shift-2,https://videos.crazygames.com/null,,http://www.crazygames.com/game/shift-2,"
Shift 2 ","
7.0 ",puzzle
chuppy-shills,https://videos.crazygames.com/null,,http://www.crazygames.com/game/chuppy-shills,"
Chuppy Shills ","
7.7 ",puzzle
sum-tracks-2,https://videos.crazygames.com/sum-tracks-2.mp4,"https://images.crazygames.com/sumtracks2.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/sum-tracks-2,"
Sum Tracks 2 ","
7.1 ",puzzle
shadow-swap,https://videos.crazygames.com/shadow-swapb.mp4,"https://images.crazygames.com/shadowswap.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",http://www.crazygames.com/game/shadow-swap,"
Shadow Swap ","
7.0 ",puzzle
simple-squares,https://videos.crazygames.com/null,,http://www.crazygames.com/game/simple-squares,"
Simple Squares ","
7.1 ",puzzle
ethan-haas-was-right,https://videos.crazygames.com/ethan-haas-was-right.mp4,"https://images.crazygames.com/ethanhaaswasright.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/ethan-haas-was-right,"
Ethan Haas Was Right ","
6.7 ",puzzle
simon-says,https://videos.crazygames.com/simon-says.mp4,"https://images.crazygames.com/simonsays.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/simon-says,"
Simon Says ","
7.1 ",puzzle
supercars-puzzle,https://videos.crazygames.com/supercars-puzzle.mp4,"https://images.crazygames.com/supercarspuzzle.png?auto=format,compress&ch=DPR&q=90&cs=strip&w=180",https://www.crazygames.com/game/supercars-puzzle,"
Supercars Puzzle ","
8.8 ",puzzle
aliens-hurrys-home,https://videos.crazygames.com/null,,http://www.crazygames.com/game/aliens-hurrys-home,"
Aliens Hurry's Home ","
6.8 ",puzzle
crazy-box,https://videos.crazygames.com/null,,http://www.crazygames.com/game/crazy-box,"
Crazy Box ","
7.0 ",puzzle
ten-gen,https://videos.crazygames.com/null,,http://www.crazygames.com/game/ten-gen,"
Ten Gen ","
6.8 ",puzzle
project-alnilam,https://videos.crazygames.com/null,,http://www.crazygames.com/game/project-alnilam,"
Project Alnilam ","
6.8 ",puzzle
crazy-eights,https://videos.crazygames.com/null,,http://www.crazygames.com/game/crazy-eights,"
Crazy Eights ","
6.9 ",puzzle
mara,https://videos.crazygames.com/null,,http://www.crazygames.com/game/mara,"
Mara ","
6.8 ",puzzle
puzzle-frenzy-remake,https://videos.crazygames.com/null,,http://www.crazygames.com/game/puzzle-frenzy-remake,"
Puzzle Frenzy Remake ","
6.9 ",puzzle
together-alone,https://videos.crazygames.com/null,,http://www.crazygames.com/game/together-alone,"
Together Alone ","
6.7 ",puzzle
